TYPE,PATH,LINE,STATUS,inlining-008000,inlining-016000,inlining-032000,inlining-064000,inlining-128000,inlining-256000,summary-001000,summary-002000,summary-004000,summary-008000,summary-016000,summary-032000,summary-064000,POPULARITY
Assigning value to const variable,external/webkit/Source/JavaScriptCore/wtf/HashMap.h,252,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/llvm/lib/Support/raw_ostream.cpp,398,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/icu4c/i18n/bmsearch.cpp,515,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/llvm/include/llvm/ADT/DenseMap.h,662,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Integer overflow,external/webkit/Source/WebCore/dom/Text.cpp,315,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,frameworks/native/libs/utils/RefBase.cpp,571,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/openssh/sftp-client.c,1632,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,frameworks/native/libs/utils/String8.cpp,366,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/llvm/lib/CodeGen/StackColoring.cpp,554,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/valgrind/main/memcheck/mc_main.c,6309,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/llvm/lib/CodeGen/SelectionDAG/TargetLowering.cpp,1898,Unknown,+,+,+,+,+,+,+,,+,+,+,+,+,12
Assigning value to const variable,external/icu4c/i18n/tznames_impl.cpp,258,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/rbbi.cpp,1372,TP,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/stlport/stlport/stl/_vector.h,667,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/openssl/crypto/asn1/a_strnid.c,237,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/include/llvm/ADT/ScopedHashTable.h,243,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/ipsec-tools/src/racoon/oakley.c,2392,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/utrie2_builder.c,1350,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/openssl/crypto/bn/bn_word.c,213,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/icu4c/common/ushape.c,323,FP,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/clang/lib/Driver/ToolChains.cpp,1463,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/lib/Lex/Preprocessor.cpp,488,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/openssl/crypto/asn1/a_strnid.c,234,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/utext.cpp,1720,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/MC/MCAsmStreamer.cpp,449,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,frameworks/compile/slang/BitWriter_2_9_func/ValueEnumerator.cpp,121,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/lib/StaticAnalyzer/Checkers/RetainCountChecker.cpp,1235,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/VMCore/Constants.cpp,1254,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/CodeGen/LiveIntervalAnalysis.cpp,1401,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,frameworks/wilhelm/src/sles.c,91,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,external/llvm/include/llvm/ADT/PointerIntPair.h,82,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/i18n/calendar.cpp,1260,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,frameworks/av/media/libstagefright/codecs/avc/common/src/fmo.cpp,76,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/include/llvm/ADT/ImmutableSet.h,350,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/llvm/lib/Support/APInt.cpp,159,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/skia/src/core/SkGlyphCache.cpp,293,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,libcore/luni/src/main/native/libcore_icu_NativeConverter.cpp,442,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,frameworks/av/media/libstagefright/httplive/M3UParser.cpp,126,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/llvm/lib/Transforms/Scalar/CodeGenPrepare.cpp,559,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,frameworks/wilhelm/src/locks.c,107,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/clang/lib/StaticAnalyzer/Core/BugReporter.cpp,1679,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,external/icu4c/i18n/msgfmt.cpp,1675,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,frameworks/wilhelm/src/locks.c,128,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/skia/src/core/SkString.cpp,446,Unknown,+,+,+,+,+,+,,,+,+,+,+,+,11
Integer overflow,external/chromium/base/file_path.cc,1187,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/llvm/utils/TableGen/PseudoLoweringEmitter.cpp,114,TP,+,+,,,,,,,,,,,,2
Assigning value to const variable,frameworks/compile/mclinker/lib/Target/X86/X86GOT.cpp,72,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/rbbi.cpp,658,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/ipsec-tools/src/racoon/schedule.c,280,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,frameworks/wilhelm/src/itf/IAndroidBufferQueue.c,428,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,frameworks/av/media/libstagefright/mpeg2ts/MPEG2PSExtractor.cpp,471,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/llvm/lib/CodeGen/MachineInstr.cpp,1721,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/clang/lib/CodeGen/CodeGenModule.h,417,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/icu4c/i18n/ucol_elm.cpp,1485,Unknown,+,+,+,+,+,+,,,,+,+,+,+,10
Assigning value to const variable,external/llvm/include/llvm/ADT/OwningPtr.h,52,Unknown,+,,,,,,,,,,,,,1
Integer overflow,cts/apps/CtsVerifier/lib/colorchecker/colorcheckertest.cpp,434,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/clang/lib/Driver/ToolChains.cpp,2400,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/i18n/unicode/calendar.h,1701,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/clang/include/clang/AST/Decl.h,1172,Unknown,+,+,+,+,+,+,+,+,,+,+,+,+,12
Integer overflow,external/neven/Embedded/common/src/b_BasicEm/Math.c,236,Unknown,+,+,+,+,+,+,,,+,+,+,+,+,11
Integer overflow,external/webkit/Source/WebCore/platform/text/RegularExpression.cpp,102,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/webkit/Source/JavaScriptCore/wtf/HashTable.h,985,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/clang/lib/Analysis/PostOrderCFGView.cpp,26,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/Support/SmallPtrSet.cpp,144,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/webkit/Source/WebCore/dom/Node.cpp,1759,Unclear,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/icu4c/i18n/ucol_elm.cpp,1496,Unknown,+,+,+,+,+,+,,,,+,+,+,+,10
Integer overflow,external/icu4c/common/ushape.c,1000,Unknown,+,+,+,+,+,+,,,,+,+,+,+,10
Assigning value to const variable,external/neven/Embedded/common/src/b_TensorEm/Cluster2D.c,358,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/utext.cpp,1719,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/stlport/stlport/stl/_tree.c,88,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,frameworks/av/media/libstagefright/codecs/on2/h264dec/source/h264bsd_dpb.c,1308,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/llvm/lib/VMCore/AsmWriter.cpp,581,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,out/target/product/generic/obj/STATIC_LIBRARIES/libext_intermediates/libxt_time.c,138,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/v8/src/objects-inl.h,1074,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/ExecutionEngine/JIT/JITEmitter.cpp,809,Unclear,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/e2fsprogs/lib/ext2fs/inode.c,144,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/qemu/fpu/softfloat.c,6153,Unclear,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,frameworks/wilhelm/src/itf/IObject.c,395,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/qemu/android/utils/stralloc.c,207,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,development/tools/emulator/opengl/shared/OpenglCodecCommon/GLClientState.cpp,355,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/Transforms/Utils/PromoteMemoryToRegister.cpp,526,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/locid.cpp,978,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,frameworks/wilhelm/src/itf/IObject.c,257,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,frameworks/base/libs/androidfw/ResourceTypes.cpp,214,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/neven/Embedded/common/src/b_TensorEm/Cluster2D.c,134,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/llvm/lib/CodeGen/SelectionDAG/DAGCombiner.cpp,7331,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/icu4c/common/uvector.cpp,178,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/lib/Serialization/ASTReaderDecl.cpp,2370,Unknown,+,,,,,,,+,+,+,+,+,+,7
Integer overflow,external/aac/libAACdec/src/aacdec_hcr.cpp,784,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,frameworks/wilhelm/src/locks.c,103,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,frameworks/wilhelm/src/itf/IBufferQueue.c,155,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/neven/Embedded/common/src/b_BitFeatureEm/Scanner.c,778,Unknown,+,+,+,+,+,+,,+,,,,,,7
Assigning value to const variable,external/quake/quake/src/WinQuake/common.cpp,1349,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/i18n/decimfmt.cpp,3349,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/TableGen/Record.cpp,1386,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,frameworks/compile/mclinker/lib/Target/ARM/ARMPLT.cpp,99,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,frameworks/wilhelm/src/itf/IBufferQueue.c,154,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,sdk/emulator/opengl/host/include/libOpenglRender/IOStream.h,66,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,frameworks/av/media/libmedia/MemoryLeakTrackUtil.cpp,119,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,libcore/luni/src/main/native/libcore_icu_NativeConverter.cpp,517,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/webkit/Source/JavaScriptCore/wtf/HashTraits.h,82,Unknown,+,+,+,+,+,+,,+,+,,,,,8
Integer overflow,external/llvm/lib/Support/APInt.cpp,1558,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,external/neven/Embedded/common/src/b_BitFeatureEm/LocalScanDetector.c,579,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/VMCore/Type.cpp,713,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/qemu/distrib/jpeg-6b/jdmerge.c,209,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/mesa3d/src/pixelflinger2/shader.cpp,962,TP,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/clang/lib/StaticAnalyzer/Core/PlistDiagnostics.cpp,80,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/libpng/pngpread.c,136,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,external/neven/Embedded/common/src/b_TensorEm/IdCluster2D.c,281,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,frameworks/av/services/camera/libcameraservice/Camera2Device.cpp,1468,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/neven/Embedded/common/src/b_APIEm/BFFaceFinder.c,301,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/VMCore/Type.cpp,344,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/webkit/Source/WebCore/rendering/style/RenderStyle.cpp,794,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/icu4c/common/ushape.c,934,Unknown,+,+,+,+,+,+,,,,,,,+,7
Assigning value to const variable,hardware/libhardware/modules/gralloc/framebuffer.cpp,279,TP,+,+,+,+,+,+,,,,,,+,+,8
Assigning value to const variable,external/webkit/Source/JavaScriptCore/wtf/HashTable.h,981,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/llvm/lib/ExecutionEngine/JIT/JITEmitter.cpp,797,TP,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,external/icu4c/i18n/csrsbcs.cpp,1275,Unknown,+,+,+,+,+,+,,,,+,+,+,+,10
Assigning value to const variable,external/llvm/lib/Support/SmallVector.cpp,37,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/opencv/cxcore/src/cxutils.cpp,600,Unknown,+,+,+,+,+,+,,,,+,+,+,+,10
Integer overflow,external/v8/src/arm/macro-assembler-arm.cc,2380,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,sdk/emulator/qtools/bbprof.cpp,202,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/skia/src/effects/SkGradientShader.cpp,1362,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/i18n/tznames_impl.cpp,1390,TP,+,+,+,+,+,+,,,+,+,+,+,+,11
Integer overflow,external/skia/src/effects/SkGradientShader.cpp,1362,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/lib/AST/ASTContext.cpp,937,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/qemu/distrib/zlib-1.2.3/trees.c,853,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/utils/TableGen/DAGISelMatcherEmitter.cpp,94,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/propsvec.c,73,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/valgrind/main/VEX/priv/ir_opt.c,3706,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/icu4c/i18n/bmsearch.cpp,402,Unknown,+,+,+,+,+,+,,,+,+,+,+,+,11
Assigning value to const variable,external/icu4c/common/charstr.cpp,76,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/llvm/lib/Target/ARM/AsmParser/ARMAsmParser.cpp,77,Unclear,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/uvectr32.cpp,78,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/srec/seti/sltsEngine/src/run_seq_lts.c,1487,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/icu4c/common/dictbe.cpp,419,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/e2fsprogs/lib/ext2fs/dirhash.c,41,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/genext2fs/genext2fs.c,834,TP,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/icu4c/i18n/unicode/calendar.h,2243,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/genext2fs/genext2fs.c,833,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/icu4c/common/dictbe.cpp,648,Unclear,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/e2fsprogs/lib/ext2fs/dirhash.c,42,TP,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/webkit/Source/JavaScriptCore/wtf/HashTable.h,993,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/icu4c/common/uniset.cpp,969,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,external/clang/lib/CodeGen/CodeGenTypes.cpp,566,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,system/core/libcutils/tztime.c,1928,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/clang/lib/ARCMigrate/FileRemapper.cpp,260,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/webkit/Source/WebCore/page/PageGroup.cpp,379,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/icu4c/i18n/tzfmt.cpp,109,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/qemu/fpu/softfloat-macros.h,416,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/rbbirb.cpp,194,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,external/icu4c/i18n/ucoleitr.cpp,184,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/i18n/ucol_elm.cpp,1555,Unknown,+,+,+,+,+,+,,,,+,+,+,+,10
Assigning value to const variable,external/webkit/Source/JavaScriptCore/wtf/HashTable.h,833,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/qemu/distrib/libpng-1.2.19/pngrutil.c,4178,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/clang/lib/Lex/ModuleMap.cpp,366,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/i18n/ucol_elm.cpp,1554,Unknown,+,+,+,+,+,+,,,,+,+,+,+,10
Assigning value to const variable,external/neven/Embedded/common/src/b_BasicEm/UInt8Arr.c,170,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/webkit/Source/JavaScriptCore/wtf/Deque.h,482,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/icu4c/common/utext.cpp,1701,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Integer overflow,external/stlport/stlport/stl/_hashtable.h,391,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/clang/lib/Serialization/ASTWriter.cpp,3717,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/serv.cpp,670,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,frameworks/wilhelm/src/itf/IPlay.c,247,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/lib/Lex/PPLexerChange.cpp,198,Unknown,+,,,,,,,,,,,,+,2
Assigning value to const variable,external/clang/lib/Serialization/ASTWriter.cpp,3737,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/utext.cpp,2695,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/neven/Embedded/common/src/b_APIEm/BFFaceFinder.c,300,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/llvm/lib/Target/X86/X86ISelLowering.cpp,10567,Unknown,+,+,+,+,+,+,,,+,,,+,+,9
Assigning value to const variable,external/clang/lib/StaticAnalyzer/Checkers/RetainCountChecker.cpp,1536,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,bionic/libc/bionic/pthread.c,1105,Unknown,+,+,+,+,+,+,,,+,,,,,7
Assigning value to const variable,external/clang/lib/AST/ItaniumMangle.cpp,158,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,frameworks/wilhelm/src/itf/IPrefetchStatus.c,125,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/Analysis/SparsePropagation.cpp,84,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/webkit/Source/JavaScriptCore/wtf/Deque.h,452,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/oprofile/pp/opannotate.cpp,241,Unknown,+,+,+,+,+,+,,,+,+,+,+,+,11
Integer overflow,frameworks/native/libs/utils/String16.cpp,223,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/llvm/lib/VMCore/Type.cpp,767,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/lib/Sema/SemaLookup.cpp,2617,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,external/icu4c/i18n/bmsearch.cpp,505,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/icu4c/common/utrie2_builder.c,1348,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/uinvchar.c,211,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,frameworks/av/media/libstagefright/codecs/amrnb/dec/SoftAMR.cpp,390,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/icu4c/common/utrie2_builder.c,1349,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/umapfile.c,211,Unknown,+,+,+,+,+,+,,,,+,,,,7
Assigning value to const variable,external/llvm/utils/TableGen/FastISelEmitter.cpp,54,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/uvectr32.cpp,109,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/icu4c/i18n/ucol.cpp,319,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/locid.cpp,1082,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/Analysis/InlineCost.cpp,365,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,frameworks/av/media/libstagefright/codecs/amrwbenc/inc/basic_op.h,567,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/include/llvm/Analysis/ScalarEvolution.h,208,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,dalvik/vm/ReferenceTable.cpp,202,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/include/llvm/ADT/SCCIterator.h,191,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/uhash.c,234,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,frameworks/wilhelm/src/itf/IAndroidEffectSend.c,49,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,frameworks/wilhelm/src/itf/IRecord.c,190,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/lib/AST/RecordLayoutBuilder.cpp,2551,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/lib/Serialization/ASTWriter.cpp,4478,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/neven/Embedded/common/src/b_BitFeatureEm/LocalScanner.c,88,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/mesa3d/src/glsl/lower_variable_index_to_cond_assign.cpp,138,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/Transforms/Utils/PromoteMemoryToRegister.cpp,184,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,sdk/emulator/opengl/host/libs/Translator/GLES_CM/GLEScmImp.cpp,809,Unknown,+,+,+,+,+,+,,,,+,+,+,+,10
Integer overflow,frameworks/base/libs/hwui/PathRenderer.cpp,250,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,frameworks/wilhelm/src/locks.c,104,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/llvm/lib/Transforms/Utils/PromoteMemoryToRegister.cpp,1002,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Integer overflow,external/llvm/lib/Support/APInt.cpp,2677,TP,+,+,+,+,+,+,,,,,,,,6
Integer overflow,frameworks/native/opengl/tests/angeles/demo.c,53,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/llvm/lib/Support/SourceMgr.cpp,125,Unknown,+,+,+,+,+,+,,,+,+,+,+,+,11
Integer overflow,external/aac/libAACenc/src/sf_estim.cpp,1001,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
